id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
297562,"Kemet: Blood and Sand",2021,304,7.17665,7.97815,4831,0,,,,,,179,,
230253,"Star Realms: Frontiers",2018,305,7.17608,7.93389,5298,0,,,,,,199,,
244271,"Dice Throne: Season Two – Battle Chest",2018,306,7.17552,8.06482,4679,0,,,,48,,,,
246784,Cryptid,2018,307,7.17473,7.44276,14851,0,,,,63,,235,,
155068,"Arcadia Quest",2014,308,7.17405,7.60633,10496,0,,,,,,,63,
139976,"Cthulhu Wars",2015,309,7.17295,7.86236,6246,0,,,,,,205,48,
359609,"Arkham Horror: The Card Game (Revised Edition)",2021,310,7.17181,8.64311,2769,0,,2,,,,,,
206718,Ethnos,2017,311,7.17146,7.4582,13640,0,,,,,,224,,
92828,"Dixit: Odyssey",2011,312,7.17107,7.39765,21280,0,,,,,16,,,
108745,Seasons,2012,313,7.1702,7.34858,25237,0,,,,,,244,,
351913,Tiletum,2022,314,7.1693,7.916,5135,0,,,,,,178,,
176734,"The Manhattan Project: Energy Empire",2016,315,7.16305,7.74353,6221,0,,,,,,193,,
295374,"Long Shot: The Dice Game",2022,316,7.16302,7.62642,7995,0,,,,57,,,,
24181,Imperial,2006,317,7.15867,7.59627,8821,0,,,,,,210,,
270633,"Aeon's End: The New Age",2019,318,7.15823,8.51758,2777,0,,,,,,154,,
150145,"Skull King",2013,319,7.15568,7.5318,10693,0,,,,64,,,,
19777,Indonesia,2005,320,7.15443,7.87565,4732,0,,,,,,172,,
66589,Navegador,2010,321,7.15374,7.53708,9295,0,,,,,,216,,
329839,"So Clover!",2021,322,7.15327,7.57886,8374,0,,,,,7,,,
160477,Onitama,2014,323,7.15167,7.34981,22534,0,22,,,,,,,
46213,Telestrations,2009,324,7.1503,7.37821,18499,0,,,,,18,,,
97207,"Dungeon Petz",2011,325,7.14972,7.39964,15003,0,,,,,,240,84,
155873,"Power Grid Deluxe: Europe/North America",2014,326,7.14432,7.95025,4453,0,,,,,,182,,
257499,"Arkham Horror (Third Edition)",2018,327,7.14314,7.69026,9505,0,,,,,,,72,
356123,"Turing Machine",2022,328,7.14286,7.6932,7056,0,,,,,,228,,
38453,"Space Alert",2008,329,7.14048,7.39024,16145,0,,,,,,,94,
22545,"Age of Empires III: The Age of Discovery",2007,330,7.13975,7.50945,10324,0,,,,,,232,,
50,"Lost Cities",1999,331,7.13782,7.24169,46966,0,,,,80,,,,
143693,"Glass Road",2013,332,7.13538,7.43636,11790,0,,,,,,238,,
245655,"The King's Dilemma",2019,333,7.13419,7.75032,6107,0,,,,,,,56,
172,"For Sale",1997,334,7.13406,7.25853,31360,0,,,,79,,,,
318184,"Imperium: Classics",2021,335,7.13356,7.70435,6916,0,,,,,,222,,
154203,"Imperial Settlers",2014,336,7.1331,7.31477,24511,0,,,,,,263,,
187617,"Nemo's War (Second Edition)",2017,337,7.13175,7.82811,5372,0,,,,,,,51,
345972,"Cat in the Box: Deluxe Edition",2022,338,7.12923,7.55453,8508,0,,,,65,,,,
